labels,polynomials,possibly nonmaximal primes,probably nonmaximal primes,torsion primes
13606.a.435392.1,"[[1, -1, 1, 2], [0, 1, 1, 1]]",,{2},{}
13608.a.435456.1,"[[0, 0, -2, 4, -4, 2], [1, 1]]",,{2},{2}
13609.a.13609.1,"[[0, -1, 0, 0, -2], [1, 1, 1, 1]]",,{},{}
13621.a.13621.1,"[[0, -3, 1, 0, -1], [1, 1, 1, 1]]",,{},{}
13622.a.54488.1,"[[0, -1, 2, 0, 4, 2], [1, 0, 0, 1]]",,{},{}
13622.b.435904.1,"[[1, -1, 0, 2, -3, 1], [0, 1]]",,"{2, 3}",{2}
13632.a.13632.1,"[[6, 3, -8, -2, 4, 0, -1], [0, 1]]",,{2},{2}
13632.b.218112.1,"[[-5, 9, 6, -14, -1, 4], [0, 1]]",,{2},{2}
13636.a.13636.1,"[[0, 0, -1, 3, -4, 1], [1, 1, 1]]",,{2},{}
13636.b.436352.1,"[[-2, 0, -1, 1, 1, 1], [1, 0, 0, 1]]",,{},{}
13641.a.40923.1,"[[0, 0, -1, 1, 0, -1], [1, 1]]",,{2},{2}
13645.a.13645.1,"[[0, 1, 3, 5, 3, 1], [0, 1]]",,{2},{2}
13645.a.13645.2,"[[-1, -8, -28, -28, 8, 1], [1, 0, 1]]",,{2},{2}
13648.a.54592.1,"[[0, 0, -1, 2, -3, 2], [1]]",,{2},{}
13648.b.218368.1,"[[-4, 4, 1, -3, 0, 1], [0, 0, 0, 1]]",,{2},{}
13648.c.873472.1,"[[4, 8, 5, -1, -2], [0, 0, 0, 1]]",,{2},{}
13651.a.13651.1,"[[-1, -5, -4, -3, -2], [0, 0, 0, 1]]",,{},{}
13651.b.13651.1,"[[-1, 5, -8, 4], [0, 0, 0, 1]]",,{},{}
13652.a.27304.1,"[[0, 0, 2, 2], [1, 1, 0, 1]]",,{},{}
13652.b.27304.1,"[[2, 0, -5, 8, -6, 2], [0, 1, 1]]",,"{2, 3}",{3}
13654.a.436928.1,"[[0, 2, 3, -5, -10, 8], [1, 0, 1]]",,{2},{}
13671.a.287091.1,"[[-1, -2, -1, 1, 1, 0, -1], [1, 1, 1]]",,{2},{2}
13671.b.861273.1,"[[-1, 0, -2, 1, 0, 1], [0, 1, 1]]",,{2},{2}
13675.a.13675.1,"[[0, -1, 0, -16, 24, -9, 1], [0, 1]]",,{2},{2}
13680.a.875520.1,"[[-1, 1, -13, -1, -47, -80, -28], [1]]",,{2},{2}
13682.a.437824.1,"[[1, 1, 0, 0, -2, 1], [0, 1]]",,{2},{}
13683.a.13683.1,"[[-1, 0, 2, 0, -2], [1, 0, 0, 1]]",,{2},{}
13689.c.41067.1,"[[9, -6, -13, -6, 0, 1], [0, 1, 0, 1]]",,{2},{}
13690.a.109520.1,"[[-2, -3, 5, 2, 1, 1], [1, 0, 0, 1]]",,{2},{2}
13691.a.13691.1,"[[-2, 4, 5, -16, 0, 2], [1, 1, 0, 1]]",,{},{}
13691.b.13691.1,"[[0, 1, -3, 0, 3, 1], [0, 1]]",,{2},{2}
13691.b.13691.2,"[[-7, 16, 0, 8, 1, 1], [0, 1, 0, 1]]",,{2},{2}
13696.a.27392.1,"[[-2, 11, -17, 0, 9, 3], [0, 1, 0, 1]]",,{2},{2}
13696.b.109568.1,"[[-83, 288, -253, -2, 12, 1], [0, 0, 1]]",,"{2, 3}",{2}
13701.a.13701.1,"[[0, 1, 5, 6, -2, -3, 1], [1]]",,{},{}
13701.b.123309.1,"[[-1, -1, 0, 1, 2, 1], [0, 0, 0, 1]]",,{},{}
13711.a.13711.1,"[[0, 0, -2, -3, 0, 1], [1, 1, 0, 1]]",,{},{}
13712.a.27424.1,"[[-1, 2, -4, 2, 0, 0, -1], [1, 1]]",,{2},{2}
13712.b.877568.1,"[[-1, 2, -3, 1, 1, -2, 1], [1]]",,{},{}
13716.a.27432.1,"[[-42, -12, 32, 0, -6], [1, 1, 0, 1]]",,{3},{3}
13716.b.27432.1,"[[10, 63, 80, 34, 3], [1, 1, 0, 1]]",,{3},{3}
13716.c.27432.1,"[[1, 1, -3, 2, 1, -2, 1], [1, 1, 0, 1]]",,{3},{3}
13717.a.13717.1,"[[2, 2, 0, -1], [1, 0, 1, 1]]",,{},{}
13723.a.13723.1,"[[0, -1, 0, 1, 2, 1], [1]]",,{2},{}
13724.a.27448.1,"[[-1, -1, 1, 0, -1], [0, 1, 1, 1]]",,"{2, 3}",{3}
13725.a.617625.1,"[[0, 1, 1, 5, -4], [1, 0, 0, 1]]",,{2},{}
13731.a.41193.1,"[[-2, 5, -5, 3, -1], [1, 1, 0, 1]]",,{2},{}
13734.a.247212.1,"[[0, 7, 64, 200, 32, 2], [1, 0, 1]]",,{2},{2}
13736.a.439552.1,"[[0, 0, -2, -1, 5, 4], [1]]",,{2},{}
13736.b.439552.1,"[[-8, -4, 0, 12, -7, 1], [0, 0, 1]]",,{2},{}
13742.a.54968.1,"[[0, 0, 1, 1, -3, 1], [1, 1]]",,"{2, 3}",{3}
13744.a.439808.1,"[[-175, 246, -80, -14, 5], [0, 0, 1, 1]]",,{2},{2}
13745.a.13745.1,"[[-2, 5, -1, -4, 0, 1], [1, 0, 0, 1]]",,{2},{}
13756.a.27512.1,"[[37, 33, -9, -12, 0, 1], [0, 1, 1]]",,"{2, 3}","{2, 3}"
13763.a.13763.1,"[[0, 1, 2, -9, 5, 1], [0, 1]]",,{2},{2}
13763.b.13763.1,"[[-1, -1, 3, 0, -3], [1, 0, 1, 1]]",,{},{}
13763.c.13763.1,"[[0, 1, 4, 3, -3, 1], [0, 1]]",,{2},{2}
13767.a.41301.1,"[[1, 3, 1, -3, -1, 1], [1]]",,{2},{}
13769.a.13769.1,"[[0, 1, 3, 2, 0, 1], [0, 1, 1]]",,{2},{2}
13784.a.27568.1,"[[0, -1, 1, 0, -1, 0, 1], [1]]",,{},{}
13786.a.13786.1,"[[-1, -1, -1, -1, 0, 1], [0, 1, 0, 1]]",,{2},{}
13796.a.55184.1,"[[0, 2, 6, 2, 0, 1], [1, 1, 1]]",,"{2, 5}",{5}
13802.a.55208.1,"[[0, 0, 0, 2, 4, 1], [1, 1]]",,{2},{}
13808.a.13808.1,"[[0, 1, -1, -1, -1], [0, 1, 0, 1]]",,{2},{}
13808.b.13808.1,"[[2, 2, -3, -3, 1, 1], [0, 0, 1]]",,"{2, 3}",{3}
13811.a.13811.1,"[[-2, 3, -6, 5, -5, 2, -1], [1, 1, 0, 1]]",,{},{}
13811.b.676739.1,"[[5, 2, 2, 0, 1], [1, 0, 1, 1]]",,{},{}
13821.a.124389.1,"[[-1, 1, -1, 2, -1, 1], [1]]",,"{2, 3}",{3}
13824.c.27648.1,"[[-1, 1, -4, 4, -4, 2, -1], [1, 1]]",,"{2, 3}",{}
13824.d.110592.1,"[[1, 1, 2, 1], [0, 1, 0, 1]]",,{2},{}
13824.e.884736.1,"[[-6, 18, -9, -7, -1, 1], []]",,{2},{2}
13840.a.110720.1,"[[0, -4, 12, -3, -28, 2], [1, 1]]",,{2},{2}
13840.b.885760.1,"[[1, -4, 7, -7, 5, -2, 1], [1]]",,{2},{}
13851.a.789507.1,"[[3, 4, 5, -1, -3], [0, 1, 0, 1]]",,{2},{2}
13856.a.27712.1,"[[1, 1, 1, 2, 0, 1], [0, 1, 0, 1]]",,{2},{2}
13856.b.443392.1,"[[0, 2, 0, 2], [0, 1, 0, 1]]",,"{2, 3}","{2, 3}"
13865.a.651655.1,"[[-1, -3, -4, 0, 4, 0, -1], [1, 1, 1]]",,{2},{2}
13866.a.41598.1,"[[-1, 1, 1, -1, 0, 1], [0, 1, 0, 1]]",,{2},{}
13869.a.374463.1,"[[-1, -8, -25, -27, -6, 1], [1, 1, 1]]",,{2},{2}
13869.b.956961.1,"[[-1, -3, 1, 8, -4, -1, -1], [1, 0, 0, 1]]",,{2},{2}
13870.a.138700.1,"[[0, -2, -2, 0, 2, 1], [1, 0, 0, 1]]",,{2},{}
13871.a.13871.1,"[[0, -2, 1, 0, 3, 1], [1, 1, 1]]",,"{2, 3}","{2, 3}"
13876.a.111008.1,"[[0, 1, 3, 1, 1], [1, 0, 0, 1]]",,{},{}
13877.a.13877.1,"[[-1, 0, 0, 4, 0, -3, -1], [0, 1]]",,{2},{}
13878.a.27756.1,"[[-1, 0, 6, 6, -17, -31, -24], [1, 1]]",,{2},{}
13878.b.249804.1,"[[1, 1, 1, 1, 0, 1], [0, 1, 0, 1]]",,{2},{}
13884.a.111072.1,"[[-10, -3, 11, 0, -3], [1, 0, 0, 1]]",,{},{}
13884.b.249912.1,"[[0, -3, 2, 0, -7, -5, -1], [1, 1, 1]]",,{3},{3}
13887.a.41661.1,"[[-8, 11, 3, -6, -1, 1], [0, 0, 0, 1]]",,{},{}
13887.b.374949.1,"[[0, 1, -4, 4, 0, 1], [0, 1]]",,{2},{2}
13888.a.55552.1,"[[-2, 1, 0, 3, 1, 1], []]",,{2},{2}
13888.b.888832.1,"[[2, -3, 1, -3, 2, 0, 1], []]",,"{2, 3}","{2, 3}"
13890.a.83340.1,"[[2, 5, -2, -10, 0, 6], [0, 0, 1]]",,"{2, 3}","{2, 3}"
13890.b.138900.1,"[[0, -2, 1, -1, 1], [0, 1, 0, 1]]",,{2},{2}
13902.a.194628.1,"[[-1, 0, 0, -4, 3, -2], [1, 1, 1]]",,{2},{2}
13903.a.13903.1,"[[0, -1, -1, 1, -2], [1, 1, 0, 1]]",,{},{}
13904.a.13904.1,"[[1, -7, 9, 2, -8, 1], [1, 0, 1]]",,{2},{2}
13904.b.222464.1,"[[9, 8, -4, -5, 0, 1], [0, 0, 0, 1]]",,{5},{5}
13916.a.194824.1,"[[0, 2, 18, 40, 12, 1], [0, 1, 1]]",,{2},{2}
13916.b.389648.1,"[[-1, 0, -4, -15, -5, 7], [1, 1, 1]]",,{2},{2}
13920.a.83520.1,"[[-1, 0, 0, -2, 3, -2, 1], [1, 1]]",,{2},{2}
13920.b.83520.1,"[[2, -1, 3, -1, 1], [0, 1, 0, 1]]",,{2},{2}
13922.a.13922.1,"[[0, 0, 1, 0, 1, -1], [1, 1]]",,{2},{}
13925.a.69625.1,"[[1, 6, 11, 6], [0, 1, 1, 1]]",,{2},{2}
13929.a.13929.1,"[[-1, 1, -1, 1], [0, 0, 0, 1]]",,{},{}
13943.a.13943.1,"[[-23, 20, 9, -9, -1, 1], [0, 1]]",,{2},{}
13947.a.376569.1,"[[-2, -5, -4, 0, 1], [1, 0, 0, 1]]",,{2},{}
13952.a.13952.1,"[[0, 1, 0, -8, -1, 10, -1], [1, 1]]",,"{2, 3}","{2, 3}"
13952.b.223232.1,"[[-1, -3, 1, 8, 1, -4, 1], [0, 1]]",,{2},{2}
13961.a.13961.1,"[[0, -1, 0, 0, 1], [1, 0, 0, 1]]",,{},{}
13963.a.13963.1,"[[0, 1, -6, 4, 5, 1], [0, 1]]",,{2},{2}
13964.a.55856.1,"[[3, -6, 1, 2, -1], [1, 0, 0, 1]]",,{2},{}
13968.a.41904.1,"[[-5, -12, -1, 11, 0, -4, 1], [0, 0, 1]]",,{2},{2}
13972.a.97804.1,"[[-3, -1, 5, 1, -3, -1], [1, 0, 0, 1]]",,{2},{}
13977.a.377379.1,"[[0, 1, 0, -12, -17, 3], [1, 1]]",,{2},{2}
13981.a.13981.1,"[[2, 2, 2, 1, 1], [1, 0, 1, 1]]",,{},{}
13984.a.894976.1,"[[3, -10, 6, -2, 2], [0, 1, 0, 1]]",,"{2, 3}","{2, 3}"
13985.a.69925.1,"[[0, 0, 1, -1, 0, -1], [1, 1]]",,{2},{2}
13986.a.27972.1,"[[-3, 3, -1, 3, -2, 0, -1], [0, 1, 1]]",,"{2, 3}",{2}
13986.b.111888.1,"[[-1, 2, -3, 3, -2, 1], [0, 1, 1]]",,{2},{2}
13987.a.13987.1,"[[0, -1, 1, 1], [1, 0, 0, 1]]",,{},{}
13989.a.13989.1,"[[2, 7, 1, -7, -4], [0, 0, 0, 1]]",,{2},{}
13997.a.13997.1,"[[2, 5, 0, -7, -4], [0, 0, 0, 1]]",,{2},{}
14000.a.56000.1,"[[2, 0, -4, -2], [1, 1, 1, 1]]",,{2},{2}
14010.a.14010.1,"[[1, 2, 6, 7, 9, 5, 3], [1, 1, 1]]",,{2},{2}
14011.a.14011.1,"[[0, 1, -1, -2, 0, 1], [1, 1]]",,{2},{2}
14013.a.14013.1,"[[0, -1, 0, 0, 0, -1, -1], [1, 1, 0, 1]]",,{},{}
14034.a.336816.1,"[[0, 1, 0, 0, 4, 4], [1, 0, 1]]",,{2},{2}
14038.a.14038.1,"[[-61, 5, 61, -2, -20, 0, 2], [0, 0, 1]]",,{3},{3}
14042.a.898688.1,"[[1, 1, 0, 2, -1, 1], [0, 1]]",,"{2, 7}",{7}
14047.a.154517.1,"[[0, -1, 1, -1, 3, 1], [1]]",,{2},{}
14050.a.140500.1,"[[0, 0, -3, 1, 2, -1, 1], [1, 1]]",,{2},{}
14056.a.112448.1,"[[0, -2, -3, -2, -1], [0, 1, 0, 1]]",,"{2, 3}",{3}
14062.a.449984.1,"[[5, 8, -5, -8, 2, 1], [0, 1, 1]]",,{2},{2}
14065.a.14065.1,"[[1, 1, 1, 0, 1], [1, 0, 0, 1]]",,"{2, 3}",{3}
14067.a.14067.1,"[[-1, 0, 1, 1, 1], [1, 0, 1, 1]]",,{},{}
14067.b.14067.1,"[[1, -4, 4, -1, -1, 1], [1]]",,{2},{}
14067.c.14067.1,"[[-6, 3, 6, -1, -2], [0, 0, 0, 1]]",,{2},{}
14067.d.126603.1,"[[-1, -3, 0, 9, 2, -7, 2], [1]]",,{2},{}
14067.e.126603.1,"[[0, 3, 7, -2, -3, 1], [1]]",,{2},{}
14068.a.225088.1,"[[0, 2, 4, -8, 2, 1], [1, 1, 1]]",,"{2, 5}",{5}
14068.b.225088.1,"[[2, 1, -2, -3, 0, 1], [1, 0, 0, 1]]",,{2},{}
14069.a.14069.1,"[[1, 0, 1], [1, 1, 0, 1]]",,{},{}
14071.a.14071.1,"[[-1, 1, 1, -2, 0, 1], [0, 0, 0, 1]]",,{},{}
14073.a.42219.1,"[[0, 1, 0, -4, -1, 3], [1, 1]]",,{2},{2}
14074.a.28148.1,"[[-5, 14, -8, -7, 3, 2], [1, 0, 0, 1]]",,{2},{}
14076.a.323748.1,"[[1, 14, -1, -15, 1, 2], [1, 0, 0, 1]]",,"{2, 5}","{2, 5}"
14078.a.14078.1,"[[1, 5, 5, -2, 0, 1], [1, 1]]",,"{2, 3}",{3}
14080.a.56320.1,"[[1, 2, 1, -1, -2, 1], []]",,{2},{2}
14080.b.56320.1,"[[1, -2, -1, 1, 2, 1], []]",,"{2, 3}","{2, 3}"
14083.a.14083.1,"[[0, -3, 3, 1, -2], [1, 0, 0, 1]]",,{2},{}
14084.a.56336.1,"[[0, 0, 2, 2, 1], [1, 1, 1, 1]]",,{},{}
14085.a.211275.1,"[[-1, 1, 0, -4, 3, -1], [1, 1, 0, 1]]",,"{2, 3}",{3}
14087.a.14087.1,"[[6, 11, 3, -3, 0, 1], [1, 0, 0, 1]]",,{2},{}
14091.a.14091.1,"[[0, 1, 4, -4, -1, 1], [0, 1]]",,{2},{2}
14094.a.84564.1,"[[-1, 1, -3, 3, -2, 2], [1, 1, 1]]",,{2},{}
14112.a.225792.1,"[[0, 2, 4, 1, -1, 1], [1, 0, 1]]",,{2},{2}
14112.a.254016.1,"[[0, 0, -1, 0, 3, -2, 1], [1, 1]]",,{2},{2}
14117.a.14117.1,"[[0, -2, 7, -6, 0, 1], [1]]",,{2},{}
14126.a.14126.1,"[[-14, 70, -111, 45, 16, 1], [0, 1]]",,{2},{}
14134.a.56536.1,"[[9, 11, -4, -7, 0, 1], [0, 1]]",,{2},{}
14138.a.28276.1,"[[0, 0, 1, 1, -2, -1, 1], [1, 1]]",,{2},{}
14140.a.28280.1,"[[0, 0, 1, -3, -1, 1], [1, 1, 0, 1]]",,{},{}
14144.a.452608.1,"[[0, 0, -1, -2, -1, 4], [1, 1]]",,{2},{2}
14147.a.14147.1,"[[1, 4, 6, 6, 3, 1], [0, 1]]",,{2},{}
14152.a.226432.1,"[[1, 1, 0, 0, 1, 1], [0, 1, 0, 1]]",,{},{}
14155.a.14155.1,"[[0, -4, 5, 1, -5, 0, 1], [1, 1, 1]]",,{2},{2}
14155.b.353875.1,"[[2, -4, 2, 1, -1], [1, 0, 0, 1]]",,{},{}
14155.c.353875.1,"[[0, -5, 19, 60, 30, 5], [1, 0, 0, 1]]",,{2},{2}
14158.a.14158.1,"[[-1, -3, -6, -7, -6, -3, -1], [0, 1]]",,{3},{3}
14158.b.113264.1,"[[0, 0, 2, 1, 2, -1], [1, 1]]",,{2},{}
14160.a.226560.1,"[[0, 0, 2, 1, 3, -4], [1, 1]]",,"{2, 3}","{2, 3}"
14169.a.14169.1,"[[-1, -2, -2, 0, 3, 3, 1], [1, 0, 0, 1]]",,{2},{2}
14175.a.127575.1,"[[0, 1, 0, -6, 4, -2], [1, 1, 0, 1]]",,"{2, 3}",{}
14185.a.14185.1,"[[0, 0, -6, 8, -2, -1], [1, 1, 0, 1]]",,{},{}
14185.b.354625.1,"[[1, 0, -8, 8, -4, 1], [1, 1, 0, 1]]",,{},{}
14188.a.227008.1,"[[0, 6, 16, 12, 2, 1], [1, 1, 1]]",,"{2, 3}",{}
14188.b.908032.1,"[[7, 25, 22, -6, -9, 2], [1, 1, 1]]",,"{2, 3}",{3}
14192.a.28384.1,"[[0, 0, 1, 2, 1, 2], [1, 1]]",,{2},{}
14197.a.14197.1,"[[2, 4, -1, -4, 0, 1], [1]]",,{2},{}
14215.a.14215.1,"[[-2, 5, -2, -4, 1, 1], [1, 0, 0, 1]]",,{2},{2}
14225.a.71125.1,"[[1, 2, 0, -2, 0, 1], [1, 1]]",,{2},{2}
14229.a.128061.1,"[[0, 1, 0, -2, 1, 3], [1]]",,"{2, 5}",{5}
14237.a.14237.1,"[[0, 0, -1, -3, 1, 1], [1, 1, 1]]",,{2},{}
14240.a.142400.1,"[[0, -1, 1, 0, 1, 1], [1, 1, 1, 1]]",,"{2, 3}","{2, 3}"
14240.b.227840.1,"[[-1, 1, 0, 2, 1, 1], [0, 1, 0, 1]]",,{2},{2}
14250.a.114000.1,"[[1, 0, 0, 2, -1, 1], [1, 0, 0, 1]]",,{2},{2}
14265.a.14265.1,"[[1, -3, 0, 1, 0, -1], [1, 1, 0, 1]]",,{2},{}
14270.a.28540.1,"[[0, -2, 1, 2], [0, 1, 1, 1]]",,{2},{2}
14272.a.14272.1,"[[-1, -4, -7, -5, 0, 2], [0, 0, 0, 1]]",,{},{}
14275.a.356875.1,"[[0, 1, 4, 3, -2, 1], [0, 1]]",,{2},{2}
14278.a.57112.1,"[[1, -1, 1, 0, -1, 1], [0, 1, 1]]",,{2},{}
14282.a.28564.1,"[[-6, 7, 10, -10, -4, 2], [0, 0, 1]]",,{2},{2}
14283.a.14283.1,"[[0, -2, 5, -4, -1, 1], [1]]",,{2},{}
14284.a.228544.1,"[[0, 1, 0, -6, 1, 2], [1, 1, 0, 1]]",,{},{}
14295.a.14295.1,"[[3, -14, 15, 0, -8, 1], [1, 1, 1]]",,{2},{2}
14301.a.128709.1,"[[0, 4, -4, 5, -2, 1], [1]]",,{2},{}
14304.a.915456.1,"[[-3, -3, 1, -1, 1], [0, 1, 0, 1]]",,{2},{2}
14308.a.57232.1,"[[0, -1, 3, -4, 4, 0, 1], [1]]",,"{2, 3}",{3}
14326.a.415454.1,"[[3, 1, 0, -2, -1], [0, 1, 0, 1]]",,{2},{}
14328.a.28656.1,"[[0, 1, -3, -4, 24, 1], [1, 0, 1]]",,{2},{2}
14328.a.114624.1,"[[1, 3, 0, -5, -1, 2], [1, 1]]",,{2},{2}
14338.a.28676.1,"[[1, 3, 1, -2, -1], [0, 1, 0, 1]]",,{},{}
14339.a.14339.1,"[[-1, -1, 2, 1, -1], [1, 1, 0, 1]]",,{},{}
14342.a.14342.1,"[[3, 11, 6, -9, -3, 1], [0, 1, 0, 1]]",,{2},{}
14348.a.57392.1,"[[0, 1, 0, -2, 0, 0, 1], [1]]",,{},{}
14350.a.71750.1,"[[-1, 1], [0, 1, 1, 1]]",,{2},{2}
14352.a.559728.1,"[[6, -10, 5, 0, -2], [0, 0, 1, 1]]",,{2},{2}
14352.b.559728.1,"[[0, 0, -21, 101, -141, 3], [1, 0, 1]]",,{2},{2}
14352.c.688896.1,"[[3, -5, 0, 6, -3, -2, 1], []]",,"{2, 5}","{2, 5}"
14356.a.229696.1,"[[0, -3, 5, 0, -8, -1], [1, 1, 1]]",,{2},{}
14363.a.14363.1,"[[1, -2, -1, 0, 2, 1], [1]]",,"{2, 3}",{3}
14366.a.14366.1,"[[-1, 4, 0, 1, 1], [1, 0, 0, 1]]",,{2},{2}
14369.a.14369.1,"[[0, 1, 1, 0, 0, 1], [1, 0, 0, 1]]",,{},{}
14382.a.733482.1,"[[-9, 33, -34, 2, 7, 1], [0, 1]]",,{2},{2}
14383.a.14383.1,"[[1, -2, 1, 0, -1], [1, 0, 1, 1]]",,{},{}
14389.a.14389.1,"[[0, 1, 0, -4, 0, 3, -1], [1, 1]]",,{2},{}
14394.a.259092.1,"[[0, 3, 3, 0, 1, 1], [1, 0, 0, 1]]",,{2},{}
14396.a.57584.1,"[[7, 2, 3, 3], [0, 1, 1, 1]]",,"{2, 5}",{5}
14398.a.28796.1,"[[0, -1, -1, 0, 1, 1], [0, 1, 1]]",,{2},{2}
14411.a.14411.1,"[[-1, 0, 1, -2, -1, 1], [1, 1]]",,{2},{2}
14413.a.14413.1,"[[-147, 338, -232, 24, 15, 1], [0, 1]]",,{2},{2}
14414.a.28828.1,"[[1, 3, -3, -3, 1, 1], [0, 1]]",,{2},{}
14415.a.14415.1,"[[46, 95, 46, -9, -6, 1], [0, 1]]",,{2},{2}
14415.a.389205.1,"[[-1, -1, -2, 1, 1, 1], [1, 0, 1]]",,{2},{2}
14417.a.187421.1,"[[-2, 1, 2, -1, -1], [0, 0, 0, 1]]",,{2},{}
14418.a.461376.1,"[[2, 2, 4, 2, 3, 1, 1], [1, 1, 1]]",,"{2, 3}","{2, 3}"
14419.a.14419.1,"[[-1, 2, -4, 3, -2], [1, 0, 1, 1]]",,{},{}
14419.b.14419.1,"[[0, 0, 0, 4, 9, 3], [1, 1, 0, 1]]",,{},{}
14419.c.14419.1,"[[3, 2, 3, 1, 1], [1, 1, 1, 1]]",,{},{}
14422.a.115376.1,"[[-1, 1, 5, 0, 0, -1], [1, 0, 0, 1]]",,{2},{}
14426.a.14426.1,"[[-1, 7, -15, 5, 9, 1], [0, 1]]",,{2},{}
14436.a.259848.1,"[[-1, 1, -2, 0, -1, 1, -1], [1, 1, 0, 1]]",,"{2, 3}",{3}
14436.b.519696.1,"[[-1, 2, -3, 2, -1, 1], [1, 1, 1]]",,{2},{2}
14437.a.14437.1,"[[-1, 0, 0, 2, -3, -1], [1, 1, 1]]",,{2},{}
14437.b.14437.1,"[[0, 0, -1, 0, -1, 1], [1, 1, 1]]",,{2},{}
14444.a.28888.1,"[[0, 0, 2, 1, 1], [1, 1, 0, 1]]",,{},{}
14444.b.28888.1,"[[-1, -1, 1, 1], [0, 1, 1, 1]]",,{},{}
14451.a.43353.1,"[[-2, -1, -5, -2, -4, -1, -1], [0, 1]]",,{},{}
14455.a.14455.1,"[[-1, 0, 1, 0, -2, -1], [1, 1, 1]]",,{2},{2}
14460.a.520560.1,"[[1, 2, 0, -3, -1, 1], [1, 1, 1]]",,{2},{}
14463.a.43389.1,"[[0, 1, 1, 0, -2], [1, 0, 0, 1]]",,{2},{}
14464.d.925696.1,"[[-1, 1, 4, -1, -3], [0, 1, 0, 1]]",,{2},{2}
14465.a.159115.1,"[[1, -3, 0, 2, -2, 1], [1, 1]]",,{2},{2}
14468.a.57872.1,"[[0, 1, -2, 2, 0, -2, 1], [0, 1]]",,{2},{}
14475.a.14475.1,"[[4, 8, 15, 13, 12, 5, 2], [1, 0, 0, 1]]",,{2},{2}
14475.a.14475.2,"[[74, -151, 65, 9, -8], [1, 0, 0, 1]]",,{2},{2}
14481.a.43443.1,"[[0, -1, 0, 4, -6, 3], [1]]",,{2},{}
14491.a.14491.1,"[[0, -1, -1, 0, 1], [1, 1, 1, 1]]",,{},{}
14492.a.463744.1,"[[-1, 1, -1, 1, -2], [0, 1, 1, 1]]",,{},{}
14492.b.927488.1,"[[2, -1, -1, 1, -1], [1, 0, 0, 1]]",,{2},{}
14493.a.130437.1,"[[0, 1, 2, 3, -4, 1], [1]]",,{2},{}
14495.a.72475.1,"[[15, 8, -34, -31, 1, 5], [0, 1]]",,{2},{2}
14495.b.72475.1,"[[0, 1, -1, -8, 12, -5], [1, 1]]",,"{2, 5}","{2, 5}"
14496.a.231936.1,"[[-1, -3, 1, 5, -2, -2, 1], [0, 1]]",,{2},{2}
14497.a.275443.1,"[[1, 1, 0, 25, 10, 1], [1, 1]]",,{2},{2}
14504.a.464128.1,"[[0, 0, 0, -2, 0, 2], [1, 1]]",,{2},{2}
14514.a.29028.1,"[[-4, -15, -28, -26, -12], [0, 0, 1, 1]]",,{2},{}
14516.a.116128.1,"[[1, 3, -1, -4, 0, 1], [0, 1, 1]]",,{2},{2}
14517.a.14517.1,"[[0, 1, -1, -1, 0, 1], [0, 1]]",,{2},{2}
14517.a.130653.1,"[[-1, 11, -38, 32, 31, 3], [0, 0, 1]]",,{2},{2}
14520.a.319440.1,"[[0, -1, 6, -5, -2, 2], [0, 1]]",,{2},{2}
14522.a.29044.1,"[[0, 1, 2, 1, 2, 1], [1, 1]]",,{2},{}
14524.a.14524.1,"[[-1, 13, 29, 7, -8, 1], [0, 1, 1]]",,{2},{2}
14524.a.116192.1,"[[-1, 1, -2, 1, -1, 1], [0, 1, 1]]",,{2},{2}
14529.a.392283.1,"[[0, -1, -3, 0, 2, 1], [1, 0, 0, 1]]",,{2},{}
14534.a.14534.1,"[[-5, -3, 45, 90, 49, 1], [0, 1]]",,{2},{}
14534.b.14534.1,"[[1, 1, 1, -1, -2, 1], [1, 1]]",,"{2, 3}",{3}
14544.a.232704.1,"[[0, -1, -16, 8, 15, -8, 1], [0, 1]]",,"{2, 5}","{2, 5}"
14545.a.72725.1,"[[0, 0, 2, 1, 2, 1], [1]]",,{2},{}
14547.a.567333.1,"[[-1, 2, -3, 1], [0, 1, 0, 1]]",,{2},{2}
14548.a.58192.1,"[[5, -8, 5, 0, -2], [0, 1, 0, 1]]",,{2},{}
14557.a.14557.1,"[[21, 55, 32, 3, 0, 1], [0, 0, 0, 1]]",,{},{}
14557.b.14557.1,"[[0, -1, 1, -2, 2, -1, 1], [1]]",,{},{}
14558.a.29116.1,"[[0, 0, 0, -1, 2, -1], [1, 1]]",,{2},{}
14560.a.145600.1,"[[0, 1, -1, -6, 1, 10], [1]]",,{2},{2}
14564.a.14564.1,"[[1, 0, -3, 0, 1, -1], [1, 1, 1]]",,{2},{}
14564.b.116512.1,"[[0, 1, 3, 4, 3], [1, 0, 0, 1]]",,{2},{}
14565.a.43695.1,"[[-1, 0, 3, -3, -5, 3], [1, 1, 1]]",,{2},{2}
14584.a.29168.1,"[[0, 1, 0, 0, 2, 1], [1, 0, 1]]",,{2},{}
14584.b.116672.1,"[[0, 0, -1, -1, -1, 2], [1, 1]]",,{2},{2}
14588.a.29176.1,"[[0, -1, -1, 1, 0, 1], [1, 1, 0, 1]]",,{},{}
14592.a.29184.1,"[[0, 0, -1, -1, 2, 0, -3], [1, 1]]",,{2},{2}
14592.b.29184.1,"[[0, 1, 1, -1, -3, 2], [1]]",,{2},{2}
14592.c.87552.1,"[[1, 4, 0, -9, -5, 2], [1]]",,{2},{2}
