labels,torsion_primes
7843.a.86273.1,{}
7844.a.125504.1,{}
7848.a.188352.1,{3}
7850.a.251200.1,{2}
7852.a.102076.1,{}
7856.a.125696.1,{2}
7857.a.7857.1,{2}
7860.a.503040.1,{}
7862.a.15724.1,{2}
7863.a.23589.1,{2}
7865.a.7865.1,{2}
7870.a.62960.1,{}
7872.a.283392.1,{2}
7877.a.7877.1,{5}
7877.a.7877.2,{}
7877.b.7877.1,{}
7877.c.7877.1,{}
7877.d.7877.1,{}
7884.a.15768.1,{3}
7884.b.283824.1,{}
7884.c.504576.1,{}
7889.a.55223.1,{3}
7889.b.55223.1,{}
7913.a.7913.1,{}
7917.a.102921.1,{2}
7927.a.7927.1,{}
7927.b.7927.1,{}
7936.a.7936.1,{2}
7936.a.126976.1,{2}
7936.b.7936.1,{2}
7936.c.31744.1,"{2, 3}"
7944.a.190656.1,{2}
7944.b.428976.1,{2}
7945.a.7945.1,{}
7945.b.198625.1,{}
7945.c.198625.1,{}
7948.a.127168.1,{}
7967.a.7967.1,{}
7972.a.127552.1,{}
7975.a.438625.1,{2}
7976.a.255232.1,{2}
7977.a.7977.1,{}
7984.a.127744.1,{5}
7984.b.127744.1,{}
7988.a.31952.1,{3}
7989.a.7989.1,{2}
7998.a.7998.1,{2}
7998.a.215946.1,{2}
8004.a.128064.1,{3}
8012.a.64096.1,{7}
8015.a.56105.1,{2}
8016.a.513024.1,{3}
8019.b.8019.1,{3}
8020.a.256640.1,{}
8021.a.8021.1,{}
8022.a.16044.1,{2}
8022.b.256704.1,"{2, 3}"
8024.a.64192.1,{2}
8024.b.272816.1,{2}
8032.a.16064.1,{}
8034.a.32136.1,{2}
8034.a.867672.1,{2}
8037.a.377739.1,{2}
8045.a.8045.1,{}
8047.a.8047.1,{}
8048.a.128768.1,{2}
8048.b.128768.1,{5}
8048.c.515072.1,{}
8064.a.8064.1,{2}
8064.b.516096.1,"{2, 5}"
8066.a.32264.1,{3}
8068.a.32272.1,{}
8073.a.8073.1,{}
8077.a.8077.1,{5}
8080.a.161600.1,"{2, 5}"
8080.b.517120.1,{}
8085.a.396165.1,{2}
8086.a.32344.1,{2}
8088.a.97056.1,"{2, 5}"
8088.b.873504.1,"{2, 3}"
8091.a.24273.1,{}
8091.b.218457.1,{}
8097.a.24291.1,{}
8100.a.145800.1,{3}
8104.a.64832.1,{}
8120.a.470960.1,{2}
8128.a.8128.1,{2}
8128.b.520192.1,{7}
8132.a.32528.1,{}
8133.a.8133.1,{2}
8136.a.781056.1,{2}
8157.a.8157.1,{}
8162.a.865172.1,{2}
8172.a.523008.1,{2}
8177.a.106301.1,{2}
8177.b.106301.1,{2}
8179.a.8179.1,{}
8181.a.24543.1,{2}
8183.a.8183.1,{2}
8184.a.540144.1,{2}
8190.a.982800.1,{2}
8196.a.16392.1,"{2, 3}"
8200.a.82000.1,{2}
8201.a.8201.1,{}
8201.b.8201.1,{}
8204.a.32816.1,{}
8208.a.8208.1,{}
8212.a.32848.1,{}
8220.a.295920.1,{2}
8228.a.526592.1,{}
8233.a.8233.1,{}
8236.a.584756.1,{2}
8242.a.65936.1,{}
8243.a.8243.1,{}
8246.a.16492.1,{}
8251.a.8251.1,{3}
8256.a.16512.1,{}
8259.a.8259.1,{}
8271.a.24813.1,{2}
8271.b.24813.1,{2}
8271.c.223317.1,{2}
8271.d.223317.1,{2}
8272.a.8272.1,{2}
8272.a.529408.1,{2}
8274.a.173754.1,{2}
8288.a.132608.1,{2}
8295.a.655305.1,{2}
8303.b.8303.1,{}
8324.a.8324.1,{}
8324.b.133184.1,{}
8325.a.374625.1,{}
8330.a.58310.1,{2}
8332.a.33328.1,{}
8332.b.66656.1,{7}
8335.a.8335.1,{3}
8339.a.258509.1,{2}
8340.a.100080.1,{2}
8346.a.450684.1,{2}
8352.a.50112.1,{2}
8352.b.200448.1,{2}
8356.a.66848.1,{2}
8356.a.534784.1,{2}
8356.b.267392.1,{}
8357.a.8357.1,{2}
8357.a.8357.2,{2}
8357.b.8357.1,{2}
8361.a.8361.2,{2}
8361.a.8361.1,{2}
8366.a.16732.1,{}
8367.a.225909.1,{}
8368.a.133888.1,{2}
8370.a.16740.1,{2}
8375.a.41875.1,{2}
8379.a.410571.1,{2}
8396.a.8396.1,{}
8396.b.134336.1,{3}
8436.a.269952.1,{}
8441.a.8441.1,{3}
8447.a.8447.1,{}
8448.a.33792.1,"{2, 3}"
8450.a.8450.1,{}
8451.a.8451.1,{}
8451.b.76059.1,{}
8452.a.16904.1,{}
8452.b.16904.1,{}
8452.c.270464.1,{}
8454.a.16908.1,{2}
8462.a.33848.1,{5}
8462.b.541568.1,{}
8468.a.618164.1,{2}
8474.a.16948.1,{2}
8475.a.8475.1,{3}
8480.a.84800.1,{2}
8485.a.8485.1,{}
8489.a.8489.1,{}
8490.a.50940.1,{2}
8490.b.84900.1,{2}
8492.a.373648.1,{3}
8510.a.17020.1,{}
8511.a.25533.1,{2}
8511.b.229797.1,{2}
8512.a.272384.1,{2}
8518.a.34072.1,{}
8522.a.17044.1,{}
8523.a.690363.1,{}
8528.a.136448.1,{2}
8532.a.68256.1,{2}
8532.b.674028.1,{2}
8536.a.273152.1,{}
8539.a.8539.1,{}
8549.a.8549.1,{3}
8549.b.8549.1,{2}
8551.a.8551.1,{2}
8554.a.17108.1,{}
8556.a.410688.1,{}
8556.b.410688.1,{}
8560.a.342400.1,{2}
8565.a.128475.1,{2}
8568.a.822528.1,{2}
8574.a.34296.1,{}
8575.a.8575.1,{}
8576.a.8576.1,{}
8577.a.694737.1,{2}
8579.a.8579.1,{}
8586.a.695466.1,{}
8588.a.34352.1,{}
8596.a.962752.1,{2}
8597.a.8597.1,{}
8601.a.404247.1,"{2, 3}"
8604.a.34416.1,{2}
8604.b.825984.1,{3}
8610.a.353010.1,{2}
8612.a.17224.1,{3}
8622.a.17244.1,{2}
8624.a.965888.1,{2}
8640.c.552960.1,{2}
8642.a.138272.1,{2}
8646.a.285318.1,{2}
8648.a.553472.1,{}
8650.a.173000.1,"{2, 3}"
8655.a.43275.1,{2}
8657.a.8657.1,{3}
8660.a.34640.1,{2}
8660.b.554240.1,{2}
8666.a.970592.1,"{2, 5}"
8673.a.60711.1,{2}
8697.a.26091.1,{2}
8704.a.147968.1,{2}
8704.c.591872.1,{2}
8711.a.8711.1,{}
8714.a.8714.1,{}
8715.a.43575.1,{2}
8719.a.8719.1,{}
8720.a.34880.1,{}
8726.a.8726.1,{}
8726.b.558464.1,{}
8727.a.235629.1,{}
8728.a.279296.1,{}
8739.a.235953.1,{2}
8742.b.8742.1,{}
8747.a.8747.1,{}
8752.a.560128.1,{2}
8753.a.8753.1,{}
8757.a.8757.1,{}
8764.a.17528.1,{}
8764.b.61348.1,{2}
8768.a.8768.1,{2}
8768.b.8768.1,{2}
8780.a.17560.1,{2}
8780.b.280960.1,"{2, 3}"
8784.a.140544.1,{2}
8784.b.316224.1,"{2, 5}"
8794.a.70352.1,{3}
8796.a.140736.1,{2}
8796.a.949968.1,{2}
8800.b.70400.1,{2}
8803.a.8803.1,{}
8813.a.8813.1,{}
8813.b.8813.1,{}
8817.a.8817.1,{}
8818.a.17636.1,{}
8825.a.220625.1,{2}
8831.a.8831.1,{}
8831.b.8831.1,{}
8832.a.17664.1,{2}
8832.b.17664.1,{2}
8832.b.282624.1,{2}
8835.a.503595.1,{2}
8838.a.8838.1,{5}
8838.b.424224.1,{}
8842.a.70736.1,{}
8847.a.26541.1,{}
8860.a.70880.1,{2}
8864.a.17728.1,{}
8864.b.17728.1,{}
8865.a.398925.1,{2}
8883.a.8883.1,{2}
8883.a.79947.1,{2}
8886.a.106632.1,"{2, 3}"
8891.a.8891.1,{}
8894.a.284608.1,{}
8896.a.142336.1,{2}
8900.a.35600.1,{}
8910.a.80190.1,{3}
8920.a.17840.1,{2}
8928.a.214272.1,{2}
8928.b.214272.1,{2}
8928.c.857088.1,{3}
8936.a.571904.1,{7}
8948.a.35792.1,{3}
8954.a.71632.1,{}
8956.a.17912.1,{}
8957.a.8957.1,{}
8958.a.8958.1,{2}
8958.b.53748.1,{}
8960.c.17920.1,{2}
8960.d.17920.1,{2}
8960.d.627200.1,{2}
8960.e.286720.1,{}
8961.a.26883.1,{2}
8965.a.493075.1,{2}
8966.a.8966.1,{5}
8968.a.143488.1,{}
8969.a.8969.1,{}
8976.a.8976.1,{3}
8976.b.80784.1,{}
8976.c.574464.1,{2}
8976.d.574464.1,{2}
8982.a.53892.1,{2}
8990.a.17980.1,{}
8991.a.26973.1,{3}
8995.a.62965.1,{3}
8995.b.62965.1,{5}
9013.a.9013.1,{}
9024.a.9024.1,{}
9024.b.577536.1,{3}
9028.a.36112.1,{2}
9028.b.577792.1,{2}
9032.a.18064.1,{2}
9035.a.9035.1,{}
9040.a.723200.1,{2}
9051.a.190071.1,{2}
9052.a.18104.1,{2}
9052.a.144832.1,{2}
9052.b.36208.1,{}
9055.a.45275.1,{}
9055.b.45275.1,{}
9056.a.72448.1,{2}
9056.b.72448.1,{2}
9056.c.72448.1,{2}
9056.d.72448.1,{2}
9065.a.9065.1,{3}
9072.a.145152.1,{5}
9072.b.580608.1,{3}
9088.a.18176.1,{2}
9088.b.18176.1,{2}
9088.c.72704.1,{2}
9088.d.581632.1,{2}
9091.a.9091.1,{}
9093.a.9093.1,{2}
9093.b.63651.1,{2}
9101.a.9101.1,{}
9106.a.291392.1,{}
9119.a.100309.1,{2}
9125.a.228125.1,{5}
9130.a.365200.1,{2}
9131.a.9131.1,{}
9132.a.876672.1,"{2, 5}"
9136.a.36544.1,{2}
9138.a.292416.1,{2}
9148.a.36592.1,{}
9152.a.100672.1,"{2, 3}"
9152.b.585728.1,"{2, 3}"
9152.c.585728.1,{2}
9160.a.366400.1,{2}
9161.a.9161.1,{3}
9163.a.155771.1,{2}
9168.a.146688.1,{2}
9168.b.293376.1,{2}
9177.a.633213.1,{2}
9186.a.220464.1,{2}
9188.a.18376.1,{}
9200.a.736000.1,{2}
9200.b.736000.1,{2}
9204.a.994032.1,{2}
9205.a.64435.1,{2}
9210.a.497340.1,{2}
9212.a.36848.1,{5}
9212.b.451388.1,{5}
9215.a.9215.1,{}
9216.b.110592.1,{2}
9227.a.9227.1,{5}
9248.b.591872.1,{3}
9248.c.591872.1,{2}
9251.a.268279.1,{}
9252.a.296064.1,{5}
9259.a.9259.1,{}
9274.a.18548.1,{}
9277.a.9277.1,{2}
9277.a.9277.2,{2}
9278.a.18556.1,{}
9296.a.148736.1,{5}
9296.b.148736.1,{}
9297.a.9297.1,{}
9300.a.595200.1,{2}
9309.a.27927.1,{}
9312.a.297984.1,{}
9314.a.37256.1,{}
9318.a.9318.1,{2}
9331.a.9331.1,{}
9331.b.9331.1,{}
9336.a.896256.1,{2}
9341.a.9341.1,{}
9344.a.598016.1,"{2, 5}"
9345.a.65415.1,{2}
9354.a.897984.1,"{2, 3}"
9356.a.37424.1,{}
9365.a.9365.1,{}
9376.a.75008.1,{}
9380.a.600320.1,"{2, 5}"
9383.a.9383.1,{}
9398.a.37592.1,{3}
9400.a.18800.1,{2}
9402.a.225648.1,{2}
9403.a.9403.1,{2}
9405.a.84645.1,{2}
9408.c.762048.1,{2}
9409.a.9409.1,{}
9414.a.903744.1,{}
9426.a.509004.1,{}
9428.a.37712.1,{}
9428.b.603392.1,{}
9442.a.9442.1,{}
9446.a.18892.1,{}
9451.a.9451.1,{}
9454.a.302528.1,{}
9459.a.766179.1,{}
9459.b.766179.1,{}
9467.a.9467.1,{}
9468.a.170424.1,{}
9468.b.908928.1,{3}
9470.a.37880.1,{}
9472.a.151552.1,{2}
9472.b.606208.2,{2}
9472.b.606208.1,{2}
9472.c.606208.1,{2}
9472.c.606208.2,{2}
9472.d.606208.1,{2}
9477.a.28431.1,{2}
9477.b.255879.1,{2}
9477.b.767637.1,{2}
9477.c.767637.1,{3}
9483.a.9483.1,{2}
9489.a.256203.1,{2}
9492.a.66444.1,{2}
9496.a.18992.1,{}
9502.a.608128.1,{7}
9504.c.19008.1,{2}
9504.d.152064.1,{}
9504.f.684288.1,{}
9505.a.9505.1,{2}
9518.a.38072.1,{}
9523.a.9523.1,{}
9526.a.19052.1,{2}
9531.a.9531.1,{}
9532.a.38128.1,{}
9540.a.38160.1,{5}
9549.a.85941.1,{}
9552.a.38208.1,{5}
9561.a.86049.1,{}
9565.a.9565.1,{2}
9565.a.9565.2,{2}
9572.a.306304.1,{}
9574.a.612736.1,{2}
9576.a.919296.1,{2}
9579.a.9579.1,{}
9583.b.67081.1,{2}
9585.a.86265.1,{2}
9585.b.258795.1,{}
9589.a.9589.1,{}
9589.b.9589.1,{}
9589.c.9589.1,{}
9589.d.9589.1,{}
9596.a.614144.1,{7}
9597.a.9597.1,{2}
9598.a.9598.1,{2}
9598.a.9598.2,{2}
9598.a.76784.1,{2}
9600.a.921600.1,{2}
9601.a.9601.1,{}
9603.a.28809.1,{}
9616.a.38464.1,{}
9618.a.134652.1,{2}
9618.b.538608.1,{2}
9633.a.28899.1,{}
9634.a.19268.1,{}
9637.a.9637.1,{}
9639.a.607257.1,{2}
9651.a.86859.1,{}
9656.a.308992.1,{}
9660.a.618240.1,{2}
9664.a.9664.1,{}
9664.b.9664.1,{2}
9667.a.9667.1,{}
9667.b.473683.1,{2}
9672.a.754416.1,"{2, 3}"
9674.a.135436.1,"{2, 3}"
9675.a.9675.1,{2}
9675.b.145125.1,{2}
9686.a.9686.1,{5}
9696.a.19392.1,{2}
9698.a.38792.1,{5}
9700.a.485000.1,{}
9709.a.9709.2,{2}
9709.a.9709.1,{2}
9709.b.67963.1,{2}
9709.c.67963.1,{2}
9713.a.9713.1,{}
9713.b.9713.1,{}
9722.a.9722.1,{}
9722.b.622208.1,{}
9728.a.311296.1,{2}
9736.a.311552.1,{3}
9748.a.623872.1,{2}
9760.a.97600.1,{2}
9760.b.97600.1,{2}
9771.a.29313.1,{}
9774.a.263898.1,{2}
9774.b.791694.1,{2}
9774.c.791694.1,{2}
9783.a.29349.1,{}
9785.a.9785.1,{2}
9790.a.156640.1,{5}
9794.a.313408.1,{3}
9803.a.9803.1,{}
9810.a.470880.1,{2}
9815.a.9815.1,{2}
9817.a.9817.1,{}
9825.a.29475.1,{2}
9825.b.245625.1,{2}
9825.b.265275.1,{2}
9830.a.39320.1,{2}
9840.a.629760.1,{}
9843.a.9843.1,{}
9843.b.797283.1,{}
9846.a.59076.1,{3}
9848.a.315136.1,{7}
9849.a.68943.1,{2}
9864.a.177552.1,{5}
9868.a.39472.1,{5}
9875.a.49375.1,{}
9882.a.19764.1,{2}
9882.b.355752.1,"{3, 5}"
9896.a.39584.1,{3}
9898.a.19796.1,{2}
9899.a.9899.1,{2}
9900.a.59400.1,{}
9904.a.158464.1,{}
9904.b.633856.1,{}
9911.a.525283.1,{2}
9911.b.525283.1,{2}
9931.a.9931.1,{}
9935.a.49675.1,{2}
9936.b.268272.1,{2}
9941.a.9941.1,{}
9951.a.9951.1,{}
9957.a.268839.1,{}
9959.a.9959.1,{}
9960.a.298800.1,{2}
9963.a.269001.1,{2}
9963.a.807003.1,{2}
9967.a.9967.1,{}
9970.a.39880.1,{}
9971.a.129623.1,{2}
9975.a.149625.1,{2}
9977.a.9977.1,{}
9979.a.9979.1,{}
9984.a.19968.1,{2}
9984.b.179712.1,{2}
9984.c.259584.1,{2}
9994.a.319808.1,{}
