labels,polynomials,possibly_nonmaximal_primes,probably_nonmaximal_primes,verbose_output,torsion_primes
856.a.1712.1,"[[0, 1, 0, -1, -1], [0, 1, 0, 1]]","{2, 3, 5, 7}","[2, 3]","['2.nss.1p3.irred:wit=[-1]', '3.1p3.2p2:wit=[0, 11, 0]']","{2, 3}"
862.a.862.1,"[[5, 2, 7, -7, -2, 1], [1, 0, 0, 1]]","{2, 3, 5, 7}",[2],['2.1p3.irred:wit=[-1]'],{2}
862.a.6896.1,"[[0, -1, -3, 0, 6, 4], [0, 1, 1]]","{2, 3, 5, 7}",[2],['2.1p3.irred:wit=[-1]'],{2}
862.b.862.1,"[[-1, -1, 3, 0, -2], [0, 1, 0, 1]]","{2, 3, 5, 7}","[2, 3]","['2.?:wit=[-1]', '3.1p3.2p2.irred.irred.irred:wit=[0, 5, 0]']",{3}
886.a.3544.1,"[[1, -1, 0, 0, -1], [0, 1, 0, 1]]","{2, 3, 5, 7}","[2, 3, 5]","['2.?:wit=[-1]', '3.1p3.2p2:wit=[0, 5, 0]', '5.1p3.irred.irred:wit=[0, 3, 3]']","{3, 5}"
893.a.893.1,"[[0, 0, -1, 0, -1], [1, 1, 0, 1]]","{2, 3, 5, 7}",[],[],{}
909.a.909.1,"[[0, -1, 1, 0, -1], [0, 1, 0, 1]]","{2, 3, 5, 7}",[2],['2.1p3.irred:wit=[-1]'],{2}
909.a.8181.1,"[[0, -3, 6, 1, -7, 3], [0, 1]]","{2, 3, 5, 7}",[2],['2.1p3.irred:wit=[-1]'],{2}
925.a.925.1,"[[0, 0, -1, -1, 2, -1], [1, 1]]","{2, 3, 5, 7}",[2],['2.1p3.irred:wit=[-1]'],{2}
925.a.23125.1,"[[0, -5, 18, -19, 1, 5], [0, 1]]","{2, 3, 5, 7}",[2],['2.1p3.irred:wit=[-1]'],{2}
932.a.3728.1,"[[0, -1, 1, 0, 1, -2, 1], [1]]","{2, 3, 5, 7}",[2],['2.nss.irred.irred:wit=[-1]'],{}
953.a.953.1,"[[0, 0, 1, 1], [1, 1, 0, 1]]","{2, 3, 5, 7}",[2],['2.1p3:wit=[-1]'],{}
966.a.834624.1,"[[1, -1, 1, 1, -1, 1], [0, 1, 1]]","{2, 3, 5, 7}","[2, 3]","['2.1p3.2p2.cusp.cusp.cusp.irred.irred.irred.irred.irred.irred.irred.irred.irred.irred.irred.irred.irred.irred.irred.irred.irred.irred.irred.irred.irred.irred.irred.irred.irred.irred.irred.irred.irred.irred.irred:wit=[-1]', '3.1p3.2p2.cusp.irred:wit=[0, 11, 0]']","{2, 3}"
